Species1,extinction_risk,Primary.Lifestyle,RLM,Nest_Type,Nest_SBS,Flightlessness,Order,Foraging,MatingSystem,NestPlacement,Territoriality,IslandDwelling,Family,Diet,Habitat_cat,Migration,IslandEndemic,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand.Wing.Index,Tail.Length,Habitat.Density,Min.Latitude,Max.Latitude,LAT,Elevational.Range,HB,DB,LogNightLights,LogHumanPopulationDensity,Range_size,Body_mass,Clutch_size
Lichenostomus flavicollis,Lower_risk,Insessorial,A,CP,T,No,Passeriformes,ArborealGleaning,NonCooperative,ExposedElevated,strong,No,Meliphagidae,Omnivore,Terrestrial,Sedentary,No,19.85332925,11.34842244,4.701506732,5.530375905,22.61606167,96.23802244,21.99187956,74.94849146,22.22201311,81.23707844,1.862851111,-13.267478,-6.940990492,1.016271111,897.8595049,2.588917778,2.360017778,0.857232129,2.128231706,66098.2,28.71,2.5
Lichenostomus flavus,Lower_risk,Insessorial,A,CP,T,No,Passeriformes,ForagingGeneralist,Cooperative,ExposedElevated,strong,No,Meliphagidae,Omnivore,Terrestrial,Sedentary,No,20.20933333,11.16011451,4.155874399,4.832585111,22.96753667,93.42570289,21.69483652,71.68661752,22.731746,75.85546575,1.975635556,-20.97318499,-10.25833818,1.176733333,792.5681956,3.499613333,2.546193333,0.763606698,0.832909123,415052.8,21.4,1.5
Lichenostomus frenatus,Lower_risk,Insessorial,A,CP,S-T,No,Passeriformes,ArborealGleaning,NonCooperative,ExposedElevated,weak,No,Meliphagidae,Omnivore,Terrestrial,Sedentary,No,22.22975267,12.27899178,4.567152,5.416404984,24.15269746,105.0585751,23.74046517,81.111332,22.71910492,92.12868467,1.949971111,-15.18723124,-8.9321878,1.038546667,879.1072418,3.05954,2.649555556,0.939774487,1.871802177,58163.8,34.11,2
Lichenostomus fuscus,Lower_risk,Insessorial,F,CP,T,No,Passeriformes,ArborealGleaning,NonCooperative,ExposedElevated,strong,No,Meliphagidae,Invertebrate,Terrestrial,Sedentary,No,18.46717444,10.45475089,4.670320242,4.763240111,19.64242559,87.06883489,20.27473825,66.82405625,22.89606222,69.503826,1.8894,-16.69438831,-2.201378542,1.02434,1010.412324,3.051791111,1.376555556,1.019426547,2.753660712,949153.2,17.68,2
Lichenostomus hindwoodi,Lower_risk,Insessorial,A,CP,T,No,Passeriformes,ArborealGleaning,NonCooperative,ExposedElevated,weak,No,Meliphagidae,Omnivore,Terrestrial,Sedentary,No,20.15062547,11.27380389,4.418288954,5.06365346,22.489805,93.82450889,22.35477267,71.91343902,23.59190889,77.03105863,1.905928889,-9.073226152,-6.205107133,1.028697778,827.2433222,2.5176,2.5143,0.632455532,0.993251773,6119.7,22.89,2
Lichenostomus keartlandi,Lower_risk,Insessorial,L,CP,T,No,Passeriformes,ArborealGleaning,NonCooperative,ExposedElevated,strong,No,Meliphagidae,Invertebrate,Terrestrial,Sedentary,No,18.34861567,10.48817745,4.558991397,4.692011429,19.35680568,84.95426044,19.63871803,65.56220114,22.74681793,68.80649886,1.788782222,-12.34706636,2.689534044,1.050335556,731.6896822,2.973924444,1.520497778,0.562341325,0.09531018,2753390.3,15.24,2
Lichenostomus leucotis,Lower_risk,Insessorial,L,CP,T,No,Passeriformes,ArborealGleaning,NonCooperative,ExposedElevated,strong,No,Meliphagidae,Invertebrate,Terrestrial,Sedentary,No,21.58699222,12.62714283,5.131551556,5.750338222,21.68295675,95.73091467,21.27033673,74.74682578,21.82076111,82.44830578,1.854817778,-17.34196622,-0.085005432,1.016671111,881.1890978,3.076553016,1.446326667,0.914691219,2.312535424,1975043.8,23.86,2
Lichenostomus melanops,Lower_risk,Insessorial,A,CP,G-S-T-Z,No,Passeriformes,ArborealGleaning,NonCooperative,ExposedElevated,weak,No,Meliphagidae,Omnivore,Forest,PartiallyMigratory,No,18.7,8.5,3,4.1,21.7,84.5,15.9,64.8,19.6,82,2,-39.15,-23.02,3,1000,5,3,0.987713442,2.698395204,732848.75,32.3,4
Lichenostomus obscurus,Lower_risk,Insessorial,A,CP,T,No,Passeriformes,ArborealGleaning,NonCooperative,ExposedElevated,weak,No,Meliphagidae,Omnivore,Terrestrial,Sedentary,No,20.6035888,11.442038,4.45197051,5.092638222,22.51472989,95.93781267,22.437662,74.19103568,23.24865311,79.83141448,1.971146667,-10.41005196,-1.849413356,1.01822,1021.982179,2.926366667,2.596993333,0.632455532,2.197224577,173670.2,26.4,2
Lichenostomus ornatus,Lower_risk,Insessorial,A,CP,S-T,No,Passeriformes,ArborealGleaning,NonCooperative,ExposedElevated,strong,No,Meliphagidae,Omnivore,Terrestrial,Sedentary,No,19.06503175,10.11582122,3.456883737,3.975847333,20.73585489,85.94490133,20.97088359,65.36984638,24.02502178,68.19346289,1.987751111,-35.27611481,-17.11533096,2.123188889,907.053761,3.886436667,2.682602222,0.763606698,1.481604541,1105339.1,17.63,2
