decimalLatitude,decimalLongitude,Order,adult_mass_g,max_longevity_d,age_first_reproduction_d,litter_size_n,litters_per_year_n,dispersal_km,density_n_km2,home_range_km2,dphy_invertebrate,dphy_plant,det_vend,det_vect,det_scav,det_diet_breadth_n,altitude_breadth_m,EQ,habitat_Forest,habitat_Savanna,habitat_Shrubland,habitat_Grassland,habitat_Wetlands,habitat_Desert,habitat_Artificial_Terrestrial,n_habitats,human_footprint,roadkill_category
36.455497,4.536394,Eulipotyphla,824.49,2555.0,317.900619333333,3.75,2.0,0.953,542.598786999999,0.1452272,20.0,30.0,10.0,30.0,0.0,3.0,900.0,0.296568157645055,1,0,1,1,0,0,1,4,47.7842292785645,High
36.197974,3.441961,Eulipotyphla,824.49,2555.0,317.900619333333,3.75,2.0,0.953,542.598786999999,0.1452272,20.0,30.0,10.0,30.0,0.0,3.0,900.0,0.296568157645055,1,0,1,1,0,0,1,4,36.121768951416,Medium
28.2916,-16.6291,Eulipotyphla,824.49,2555.0,317.900619333333,3.75,2.0,0.953,542.598786999999,0.1452272,20.0,30.0,10.0,30.0,0.0,3.0,900.0,0.296568157645055,1,0,1,1,0,0,1,4,3.57015109062195,High
-6.830373,37.670589,Eulipotyphla,319.06,2518.5,425.462,5.195,1.5,0.566,144.308541066667,0.1599207,20.0,30.0,10.0,30.0,0.0,3.0,1815.90816666667,0.615303757303115,0,1,1,1,0,0,1,4,39.351245880127,High
-10.675567,-62.208069,Carnivora,9500.0,4343.5,365.0,3.478763,1.42022733333333,3.656,9.77505026666666,9.19221033333333,0.0,20.0,80.0,0.0,0.0,2.0,3071.97743333333,1.16078336445069,1,1,0,0,1,0,0,3,18.0498847961426,High
14.428868,101.368889,Rodentia,2000.0,4948.792,449.600381133334,1.585,1.63831666666667,1.552,23.5735269666667,0.529472200000001,0.0,100.0,0.0,0.0,0.0,2.0,1910.17473333333,1.10561141448383,1,0,1,0,0,0,0,2,13.8032693862915,Medium
7.676415,36.838274,Carnivora,3300.0,7592.0,311.465,2.0,2.0,2.044,41.3599852333334,1.73,40.0,0.0,30.0,20.0,0.0,3.0,3950.0,1.07982701652962,1,0,0,1,1,0,0,6,38.0528106689453,Medium
7.67344,36.83441,Carnivora,3300.0,7592.0,311.465,2.0,2.0,2.044,41.3599852333334,1.73,40.0,0.0,30.0,20.0,0.0,3.0,3950.0,1.07982701652962,1,0,0,1,1,0,0,6,38.048755645752,Medium
16.030395,78.890295,Artiodactyla,45500.0,7592.0,913.0,1.03,1.01,8.654,8.595,0.67,0.0,100.0,0.0,0.0,0.0,1.0,1100.0,1.05293036047372,1,1,0,1,0,0,1,4,13.2072696685791,Medium
27.5583,84.375,Artiodactyla,45500.0,7592.0,913.0,1.03,1.01,8.654,8.595,0.67,0.0,100.0,0.0,0.0,0.0,1.0,1100.0,1.05293036047372,1,1,0,1,0,0,1,4,17.0769805908203,High
32.9186,47.4695,Artiodactyla,45500.0,7592.0,913.0,1.03,1.01,8.654,8.595,0.67,0.0,100.0,0.0,0.0,0.0,1.0,1100.0,1.05293036047372,1,1,0,1,0,0,1,4,21.2028827667236,High
11.116208,76.747831,Artiodactyla,45500.0,7592.0,913.0,1.03,1.01,8.654,8.595,0.67,0.0,100.0,0.0,0.0,0.0,1.0,1100.0,1.05293036047372,1,1,0,1,0,0,1,4,31.0080757141113,Medium
29.8833335,78.116667,Artiodactyla,45500.0,7592.0,913.0,1.03,1.01,8.654,8.595,0.67,0.0,100.0,0.0,0.0,0.0,1.0,1100.0,1.05293036047372,1,1,0,1,0,0,1,4,30.5626125335693,Medium
26.590563,93.417212,Rodentia,200.0,1533.0,272.5,6.12,4.015,0.437,2227.36294136667,0.0105649,20.0,80.0,0.0,0.0,0.0,2.0,1500.0,0.45487421848111,0,0,1,1,1,0,1,5,28.0957736968994,High
26.5667,93.1333,Rodentia,200.0,1533.0,272.5,6.12,4.015,0.437,2227.36294136667,0.0105649,20.0,80.0,0.0,0.0,0.0,2.0,1500.0,0.45487421848111,0,0,1,1,1,0,1,5,16.8971939086914,High
10.020301,-83.215233,Carnivora,1214.167,6201.958,562.675,1.0,1.13767413333333,1.179,6.02,1.54425586666667,20.0,70.0,10.0,0.0,0.0,2.0,1700.0,1.13244467592303,1,0,0,0,0,0,0,1,22.0313472747803,Medium
6.15,-75.55,Carnivora,4319.6164927,7551.77850993333,724.836855433333,2.670129,1.10936083333333,2.84474066666667,17.7716843,1.90767606666667,21.0,67.0,11.572,2.52116666666667,0.129333333333333,2.34923333333333,1300.0,1.12357473967886,1,0,0,0,0,0,0,1,25.6005058288574,Low
64.2823,-135.0,Cetartiodactyla,624577.07,12227.5,1095.0,1.0,1.0,36.549,0.153,47.39,0.0,100.0,0.0,0.0,0.0,1.0,2570.0,0.36435319034607,1,1,1,1,1,1,1,8,0.0002798518980853,Low
44.0682,-114.742,Cetartiodactyla,624577.07,12227.5,1095.0,1.0,1.0,36.549,0.153,47.39,0.0,100.0,0.0,0.0,0.0,1.0,2570.0,0.36435319034607,1,1,1,1,1,1,1,8,8.53064155578613,Low
