"scientificName_final","decimalLatitude","decimalLongitude","Order","Annualroadkillrate_corrected","adult_mass_g","max_longevity_d","age_first_reproduction_d","litter_size_n","litters_per_year_n","dispersal_km","density_n_km2","home_range_km2","dphy_invertebrate","dphy_plant","det_vend","det_vect","det_scav","det_diet_breadth_n","altitude_breadth_m","EQ","habitat_Forest","habitat_Savanna","habitat_Shrubland","habitat_Grassland","habitat_Wetlands","habitat_Desert","habitat_Artificial_Terrestrial","n_habitats","human_footprint","log_roadkill","roadkill_category"
"Aotus lemurinus",6.5124,-75.8179,"Primates",0.020885501,837,12337,889.981,1,1,0.961,1.5,2.93572616666667,20,70,0,0,0,4,1784.58496666667,1.55254568243959,"1","0","0","0","0","0","0",1,38.2301292419434,-3.86870009281222,"Medium"
"Apodemus agrarius",42.405375,128.042614,"Rodentia",4.65767e-05,21.2,1460,96.985,5.68,3.335,0.127,1098.35,0.0342650666666667,20,80,0,0,0,4,1750,0.215379181799459,"1","0","0","1","1","0","1",4,9.40482425689697,-9.97441014187436,"Low"
"Apodemus agrarius",42.40267547,128.0433181,"Rodentia",0.000690588,21.2,1460,96.985,5.68,3.335,0.127,1098.35,0.0342650666666667,20,80,0,0,0,4,1750,0.215379181799459,"1","0","0","1","1","0","1",4,5.14117956161499,-7.27796714935396,"Low"
"Apodemus agrarius",49.50914,17.30351,"Rodentia",0.199276913,21.2,1460,96.985,5.68,3.335,0.127,1098.35,0.0342650666666667,20,80,0,0,0,4,1750,0.215379181799459,"1","0","0","1","1","0","1",4,17.3743362426758,-1.61305989891496,"High"
"Apodemus agrarius",41.6969,127.7153,"Rodentia",0.036572357,21.2,1460,96.985,5.68,3.335,0.127,1098.35,0.0342650666666667,20,80,0,0,0,4,1750,0.215379181799459,"1","0","0","1","1","0","1",4,0.934690117835999,-3.30846259716138,"Medium"
"Apodemus agrarius",36.579695,127.92624,"Rodentia",0.012323205,21.2,1460,96.985,5.68,3.335,0.127,1098.35,0.0342650666666667,20,80,0,0,0,4,1750,0.215379181799459,"1","0","0","1","1","0","1",4,24.8207054138184,-4.396271208605,"Low"
"Apodemus flavicollis",55.1694,23.8813,"Rodentia",3.40366e-05,29.375,1642.5,68.52,5.5,2.8,0.152,583.5,0.001,20,80,0,0,0,4,1850,0.605859075104125,"1","0","1","0","0","0","0",2,19.7183208465576,-10.2880741417389,"Low"
"Apodemus flavicollis",42.9,11.2,"Rodentia",0.011415107,29.375,1642.5,68.52,5.5,2.8,0.152,583.5,0.001,20,80,0,0,0,4,1850,0.605859075104125,"1","0","1","0","0","0","0",2,17.7930774688721,-4.47281762541312,"Low"
"Apodemus peninsulae",36.579695,127.92624,"Rodentia",0.061616025,29.4,1934.5,77.349,4.7,2.8,0.152,1537.6426308,0.00579806666666662,20,80,0,0,0,4,2365.6924,0.569365151447095,"1","0","1","1","1","0","1",5,24.8207054138184,-2.7868332961709,"Medium"
"Apodemus peninsulae",41.6969,127.7153,"Rodentia",1.901762554,29.4,1934.5,77.349,4.7,2.8,0.152,1537.6426308,0.00579806666666662,20,80,0,0,0,4,2365.6924,0.569365151447095,"1","0","1","1","1","0","1",5,0.934690117835999,0.642781116161772,"High"
"Apodemus peninsulae",42.405375,128.042614,"Rodentia",0.002421989,29.4,1934.5,77.349,4.7,2.8,0.152,1537.6426308,0.00579806666666662,20,80,0,0,0,4,2365.6924,0.569365151447095,"1","0","1","1","1","0","1",5,9.40482425689697,-6.02316617556262,"Low"
"Apodemus peninsulae",42.40267547,128.0433181,"Rodentia",0.044197647,29.4,1934.5,77.349,4.7,2.8,0.152,1537.6426308,0.00579806666666662,20,80,0,0,0,4,2365.6924,0.569365151447095,"1","0","1","1","1","0","1",5,5.14117956161499,-3.11908372660965,"Medium"
"Apodemus speciosus",42.2801883,127.8093222,"Rodentia",0.001629472,43.75,1934.5,90.1737814,4.47,3.581767,0.19,1319.39529263333,0.00587086666666662,20,80,0,0,0,4,2215.52173333333,0.533658643969502,"1","0","0","1","0","0","1",4,9.83041954040527,-6.41949924301932,"Low"
"Apodemus sylvaticus",45.212864,9.356684,"Rodentia",0.056909039,23.4,2308.625,85,5.18,3.8,0.134,1700,0.007,20,80,0,0,0,4,3300,0.589657729131155,"1","0","1","1","0","0","1",5,45.5598297119141,-2.8663010928214,"Medium"
"Apodemus sylvaticus",41.7294,1.8272,"Rodentia",1.378777851,23.4,2308.625,85,5.18,3.8,0.134,1700,0.007,20,80,0,0,0,4,3300,0.589657729131155,"1","0","1","1","0","0","1",5,38.2068367004395,0.321197491562878,"High"
"Apodemus sylvaticus",38.688535,-8.104944,"Rodentia",3.1,23.4,2308.625,85,5.18,3.8,0.134,1700,0.007,20,80,0,0,0,4,3300,0.589657729131155,"1","0","1","1","0","0","1",5,16.1559085845947,1.1314021114911,"High"
